movie_title,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Percy Jackson & the Olympians: The Lightning Thief,12/02/2010,29/06/2010,83,20th Century Fox,49,144,53,254287
Please Give,30/04/2010,19/10/2010,90,Sony Pictures Classics,86,140,64,11567
10,05/10/1979,27/08/1997,118,Waner Bros.,68,22,53,14670
12 Angry Men (Twelve Angry Men),13/04/1957,06/03/2001,95,Criterion Collection,100,51,97,105000
"20,000 Leagues Under The Sea",01/01/1954,20/05/2003,127,Disney,89,27,74,68860
"10,000 B.C.",07/03/2008,24/06/2008,109,Warner Bros. Pictures,8,148,37,411087
The 39 Steps,01/08/1935,06/06/1935,87,Gaumont British Distributors,96,47,86,23827
3:10 to Yuma,07/08/1957,02/04/2002,92,Columbia Pictures,96,27,78,9224
Charly (A Heartbeat Away),27/09/2002,01/08/2003,103,Excel Entertainment,20,10,87,4819
Abraham Lincoln,08/11/1930,18/11/2008,97,United Artists,90,10,38,455
Dark Water,19/01/2002,21/06/2005,100,Toho Company Ltd,80,15,66,21459
The Accused,14/10/1988,16/04/2002,110,Paramount Pictures,91,22,79,20796
The Lost City,03/09/2005,08/08/2006,143,Magnolia Pictures,25,83,64,25940
The Breaking Point,06/10/1950,08/08/2017,97,Warner Home Video,100,7,84,328
Adam's Rib,18/11/1949,19/09/2000,100,MGM Home Entertainment,100,27,86,10545
The Bridge of San Luis Rey,10/06/2005,11/10/2005,120,Fine Line Features,4,24,35,1931
The Prowler (Cost of Living ),03/12/1951,01/02/2011,92,VCI Entertainment,100,17,86,284
Criminal,24/09/2004,12/04/2005,88,Warner Bros. Pictures,69,124,57,6702
The Adventures of Mark Twain,01/03/1985,31/01/2006,86,Eureka Entertainment Ltd,80,5,82,1042
Deep Blue,17/06/2005,11/04/2006,90,Miramax Flims,67,52,80,4690
The Adventures of Robin Hood,14/05/1938,30/09/2003,102,Warner Bros.,100,46,89,33890
Man Hunt,01/01/1941,19/05/2009,105,Twentieth Century Fox,92,12,75,552
Dead End,26/09/2003,19/11/2004,85,LionsGate Entertainment,75,8,60,10351
Bandwagon,12/09/1997,16/02/1999,103,Avalanche Entertainment,80,5,91,386
Whore,16/04/2004,08/02/2005,87,Dolores Pictures LLC,0,6,63,914
Tristan & Isolde,13/01/2006,25/04/2006,99,20th Century Fox,31,121,71,220945
Wild Side,10/06/2005,25/10/2005,94,Wellspring,63,16,80,867
Running Scared,24/02/2006,06/06/2006,119,New Line Cinema,41,130,79,135373
Going the Distance,20/08/2004,05/07/2005,93,Séville Pictures,0,5,61,13032
Ultraviolet,03/03/2006,27/06/2006,88,Sony Pictures,8,83,30,279966
Home of the Brave,11/05/2004,23/10/2007,74,Emerging Pictures,93,15,48,866
Arthur and the Invisibles (Arthur and the Minimoys),12/01/2007,15/05/2007,94,MGM,22,91,56,134466
Malevolence,10/09/2004,19/04/2005,85,Anchor Bay Entertainment,33,18,83,2619
Eternal,26/08/2004,18/10/2005,107,Regent Releasing,21,34,40,1294
A Farewell To Arms,14/12/1957,29/03/2005,152,Fox,0,11,36,1458
The Narrow Margin,04/05/1952,05/07/2005,71,Warner Home Video,100,10,88,1129
The Matador,27/01/2006,04/07/2006,97,The Weinstein Company,75,154,65,73691
Smile,08/04/2005,06/09/2005,107,Dark Forest Releasing,15,13,66,2059
The Intruder (L'Intrus),23/12/2005,25/04/2006,129,Wellspring,86,29,73,9701
Saint Ralph,05/08/2005,13/12/2005,98,IDP,64,69,85,6202
The Baxter,26/08/2005,13/12/2005,91,IFC Films,32,75,75,7434
Oliver Twist,30/09/2005,24/01/2006,130,Sony Pictures,60,141,63,23278
The Alamo,24/10/1960,05/12/2000,161,Batjac Productions,50,20,63,7323
G,16/09/2005,28/03/2006,96,Slow Hand Cinema,24,29,60,1140
Alexander the Great,28/03/1956,19/10/2004,135,United Artists,0,8,42,5382
Alfie,24/08/1966,27/02/2001,113,Paramount Pictures,96,26,77,14657
Neverwas,09/09/2005,03/07/2007,102,Senator Film,14,7,65,4058
The Second Chance,17/02/2006,18/07/2006,102,Sony Pictures,40,15,78,79542
Moonlight,17/10/2003,03/04/2007,91,Indican Pictures,60,10,67,1430
Aliens,18/07/1986,01/06/1999,138,20th Century Fox,99,72,94,429158
Rise: Blood Hunter,01/06/2007,09/10/2007,98,IDP Distribution,36,14,20,8237
All About Eve,01/01/1950,05/10/1999,138,20th Century Fox,100,67,94,45151
When Do We Eat?,07/04/2006,22/08/2006,86,ThinkFilm,42,38,68,1121
The Mostly Unfabulous Social Life of Ethan Green,16/06/2006,10/10/2006,88,Regent Releasing,27,26,58,2392
Dirty,24/02/2006,04/04/2006,97,SNP Inc.,21,28,42,7321
Stay Alive,24/03/2006,19/09/2006,86,Buena Vista,9,58,55,113399
All of Me,21/09/1984,02/02/1999,93,HBO Video,92,36,67,14328
All Quiet on the Western Front,,23/04/2002,150,Unknown,100,5,70,7571
Dreamland,23/01/2006,19/12/2006,88,Dreamland Motion Picture Co.,67,15,65,5650
Independent Lens,06/10/2006,27/04/2010,77,California Newsreel,84,50,84,1854
All the King's Men,08/11/1949,05/06/2001,109,Sony Pictures Home Entertainment,97,35,78,4844
Street Fight,01/01/2005,09/01/2007,86,Marshall Curry Productions,100,22,93,2988
The Motel,28/06/2005,30/01/2007,76,Palm Pictures,87,31,64,4038
